"No","Event ID","Date time","Latitude","Longitude","Magnitude","Mag Type","Depth (km)","Phase Count","Azimuth Gap","Location","Agency"
"64","bmg2023efrx","2023-03-02T00:52:35.391901Z","-0.594538033","137.2180634","5.053258127","MLv","20","21","211.3238678","West Papua Region, Indonesia","BMKG"
"65","bmg2023efqj","2023-03-02T00:05:18.684377Z","1.357582211","125.7877808","4.145422398","MLv","34","39","78.13520432","Northern Molucca Sea","BMKG"
"66","bmg2023efoj","2023-03-01T23:05:23.271654Z","-1.655766129","100.7345657","5.322854317","Mw(mB)","83","204","50.64683533","Southern Sumatra, Indonesia","BMKG"
"67","bmg2023efno","2023-03-01T22:40:21.755791Z","-0.11496602","124.4759674","3.21196438","MLv","12","19","123.6745834","Southern Molucca Sea","BMKG"
"68","bmg2023efnk","2023-03-01T22:36:07.738523Z","-1.080499411","137.1524963","4.93820616","mb","20","44","181.7599106","Near North Coast of West Papua","BMKG"
"69","bmg2023efnl","2023-03-01T22:35:16.95166Z","-3.428221226","128.3356171","2.32681266","MLv","10","12","117.8395844","Seram, Indonesia","BMKG"
"70","bmg2023efmp","2023-03-01T22:11:04.911163Z","-0.2057707608","124.4959793","3.490280208","MLv","10","22","73.55499268","Southern Molucca Sea","BMKG"
"71","bmg2023efmn","2023-03-01T22:09:20.269557Z","-0.2122719884","124.4667969","3.619533027","MLv","11","22","80.90653229","Southern Molucca Sea","BMKG"
"72","bmg2023eflq","2023-03-01T21:42:10.24258Z","4.54086113","96.53872681","2.272337213","MLv","10","21","121.898941","Northern Sumatra, Indonesia","BMKG"
"73","bmg2023eflc","2023-03-01T21:25:41.59274Z","-9.110297203","114.1276932","3.38179431","MLv","37","58","190.874115","South of Bali, Indonesia","BMKG"
"74","bmg2023efky","2023-03-01T21:21:08.405318Z","4.085677147","95.9595871","2.55094567","M","40","22","157.1488037","Northern Sumatra, Indonesia","BMKG"
"75","bmg2023efkl","2023-03-01T21:06:29.550613Z","-3.377137899","128.6309662","2.773142326","MLv","10","15","139.3344345","Seram, Indonesia","BMKG"
"76","bmg2023efkf","2023-03-01T20:59:29.037648Z","1.295969129","125.7924118","3.610275493","MLv","36","28","99.21996498","Northern Molucca Sea","BMKG"
"77","bmg2023efjw","2023-03-01T20:47:56.802513Z","-8.291210175","107.8297119","3.671001365","MLv","11","61","217.6941299","Java, Indonesia","BMKG"
"78","bmg2023efjs","2023-03-01T20:44:16.52831Z","-3.334149361","128.3423157","2.613058766","MLv","10","16","117.6977997","Seram, Indonesia","BMKG"
"79","bmg2023efit","2023-03-01T20:14:27.590179Z","1.368465424","97.89745331","2.83854183","MLv","10","25","80.34381104","Northern Sumatra, Indonesia","BMKG"
"80","bmg2023efic","2023-03-01T19:55:18.556263Z","-5.647671223","103.729866","2.921516531","MLv","36","27","165.0758286","Southern Sumatra, Indonesia","BMKG"
"81","bmg2023efea","2023-03-01T17:51:22.800498Z","-7.365766048","114.4483414","2.992109311","M","10","35","189.4852905","Bali Sea","BMKG"
"82","bmg2023efdi","2023-03-01T17:29:51.031975Z","-0.195949614","124.4593353","3.737121555","MLv","10","32","72.89123535","Southern Molucca Sea","BMKG"
"83","bmg2023efde","2023-03-01T17:25:54.114272Z","-8.35665226","116.8729401","2.426337744","MLv","10","24","166.2517929","Sumbawa Region, Indonesia","BMKG"
"84","bmg2023efbt","2023-03-01T16:41:56.288784Z","-9.513803482","118.6275787","3.415896345","MLv","22","44","181.4939728","Sumbawa Region, Indonesia","BMKG"
"85","bmg2023efba","2023-03-01T16:20:05.420568Z","-10.02659988","119.2338181","3.372193055","MLv","11","36","193.2416306","Sumba Region, Indonesia","BMKG"
"86","bmg2023efak","2023-03-01T16:01:52.251515Z","-2.95204711","119.3618317","2.059445262","M","13","8","154.6697464","Sulawesi, Indonesia","BMKG"
"87","bmg2023eeym","2023-03-01T15:03:39.820248Z","-9.262269974","119.1231079","2.545840245","MLv","30","28","135.5117645","Sumba Region, Indonesia","BMKG"
"88","bmg2023eevq","2023-03-01T13:36:37.974413Z","-7.952667713","110.4838333","2.738509346","M","10","24","119.1315079","Java, Indonesia","BMKG"
"89","bmg2023eevj","2023-03-01T13:29:14.10161Z","-7.248113155","107.6086273","2.194641746","MLv","10","15","93.61328125","Java, Indonesia","BMKG"
"90","bmg2023eevh","2023-03-01T13:26:41.928885Z","-9.712394714","119.0174866","3.384082202","M","10","37","179.6315155","Sumba Region, Indonesia","BMKG"
"91","bmg2023eevc","2023-03-01T13:20:48.295794Z","0.3295809627","119.4919205","2.861086512","MLv","15","18","153.9143219","Minahassa Peninsula, Sulawesi","BMKG"
"92","bmg2023eevb","2023-03-01T13:19:08.33783Z","-8.520775795","118.3904953","2.84044866","MLv","112","45","107.9178619","Sumbawa Region, Indonesia","BMKG"
"93","bmg2023eeuz","2023-03-01T13:16:46.015338Z","-6.801112652","107.0350342","2.028077927","MLv","29","13","147.0274811","Java, Indonesia","BMKG"
"94","bmg2023eetu","2023-03-01T12:41:05.614044Z","-3.322047949","127.2982407","4.697060213","MLv","11","78","67.23338318","Seram, Indonesia","BMKG"
"95","bmg2023eerq","2023-03-01T11:35:37.364223Z","-8.504247665","120.5561981","2.685100692","MLv","35","24","88.16797781","Flores Region, Indonesia","BMKG"
"96","bmg2023eerk","2023-03-01T11:29:02.226706Z","-0.04917171225","123.4328537","2.530204803","MLv","68","19","120.0071678","Minahassa Peninsula, Sulawesi","BMKG"
"97","bmg2023eeql","2023-03-01T10:59:45.319005Z","-0.6539064646","133.1117096","3.149611138","M","10","16","202.5809708","West Papua Region, Indonesia","BMKG"
